year,geo_code,Unnamed: 0,nace_r2_code,nace_r2_name,geo_name,I_CT,I_Cult,I_GFCF,I_IT,I_OCon,I_OIPP,I_OMach,I_RD,I_Rstruc,I_Soft_DB,I_TraEq,Ip_CT,Ip_Cult,Ip_GFCF,Ip_IT,Ip_OCon,Ip_OIPP,Ip_OMach,Ip_RD,Ip_Rstruc,Ip_Soft_DB,Ip_TraEq,Ipyp_CT,Ipyp_Cult,Ipyp_GFCF,Ipyp_IT,Ipyp_OCon,Ipyp_OIPP,Ipyp_OMach,Ipyp_RD,Ipyp_Rstruc,Ipyp_Soft_DB,Ipyp_TraEq,Iq_CT,Iq_Cult,Iq_GFCF,Iq_IT,Iq_OCon,Iq_OIPP,Iq_OMach,Iq_RD,Iq_Rstruc,Iq_Soft_DB,Iq_TraEq,K_CT,K_Cult,K_GFCF,K_IT,K_OCon,K_OIPP,K_OMach,K_RD,K_Rstruc,K_Soft_DB,K_TraEq,Kpyp_CT,Kpyp_Cult,Kpyp_GFCF,Kpyp_IT,Kpyp_OCon,Kpyp_OIPP,Kpyp_OMach,Kpyp_RD,Kpyp_Rstruc,Kpyp_Soft_DB,Kpyp_TraEq,Kq_CT,Kq_Cult,Kq_GFCF,Kq_IT,Kq_OCon,Kq_OIPP,Kq_OMach,Kq_RD,Kq_Rstruc,Kq_Soft_DB,Kq_TraEq
1995,UK,11120,C22-C23,Manufacture of rubber and plastic products and other non-metallic mineral products,United Kingdom,3.0,0.0,1671.0,63.0,137.0,0.0,1131.0,136.0,0.0,120.0,82.0,437.5,0.0,82.5234432741608,354.03199241987,15.4627395788261,0.0,97.8688621057277,43.9380503200378,0.0,128.582036738869,97.5981513977973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685714285714286,0.0,2024.87915397395,17.7950019627842,886.000823473745,0.0,1155.62802679588,309.526706372717,0.0,93.3256332248822,84.0179847933582,67.0,0.0,13020.0,263.0,2223.0,0.0,9311.0,331.0,0.0,384.0,441.0,67.0,0.0,12930.0,343.0,2178.0,0.0,9239.0,312.0,0.0,387.0,404.0,31.2466681952942,0.0,18162.1899913104,77.0436865965795,4646.74813118142,0.0,12476.25385,661.298377037178,0.0,294.959707157194,437.395708405077
1995,UK,11832,C24-C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",United Kingdom,16.0,0.0,3009.0,89.0,405.0,0.0,1869.0,257.0,0.0,267.0,107.0,138.266253869969,0.0,59.5927802457294,244.435659492501,-208.591517286768,0.0,65.9014497583086,50.0972411689722,0.0,44.7420964312189,53.6785576502318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5718763994626,0.0,5049.26937053861,36.4103994420382,-194.159381583678,0.0,2836.05293488155,513.002301131052,0.0,596.753440935548,199.334715171018,55.0,0.0,20720.0,180.0,5867.0,0.0,12533.0,900.0,0.0,672.0,513.0,55.0,0.0,20475.0,237.0,5754.0,0.0,12437.0,849.0,0.0,668.0,475.0,19.4267042066963,0.0,31767.8160566916,55.2709861151498,12445.7385460521,0.0,16247.4858503455,1802.4736559064,0.0,606.730026219258,511.945390756017
1995,UK,13273,C26,"Manufacture of computer, electronic and optical products",United Kingdom,29.0,0.0,2159.0,168.0,221.0,0.0,949.0,638.0,0.0,116.0,36.0,196.275923667126,0.0,44.8639532198253,159.504755025178,20.2643462852628,0.0,49.3853154654293,52.9827743859597,0.0,131.386975161416,40.6978325761566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7751183426769,0.0,4812.3267011743,105.326013618516,1090.58539016737,0.0,1921.62384922765,1204.16495246627,0.0,88.2888123860739,88.4567991001345,196.0,0.0,11190.0,409.0,1732.0,0.0,3932.0,3581.0,0.0,1115.0,225.0,198.0,0.0,11077.0,533.0,1699.0,0.0,3931.0,3380.0,0.0,1120.0,216.0,92.4037402386421,0.0,16566.8765609829,123.862709908912,3633.06184274451,0.0,5323.19796415086,7208.5580823597,0.0,838.93929678151,230.793082096971
1995,UK,13985,C26-C27,"Computer, electronic, optical products; electrical equipment",United Kingdom,39.0,0.0,2919.0,228.0,339.0,0.0,1322.0,759.0,0.0,165.0,63.0,182.662690687121,0.0,49.4028476704854,194.944365318221,25.4541977815055,0.0,56.2692095740741,50.5282342364358,0.0,134.990969263541,43.6456005027736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.350829692311,0.0,5908.56628239244,116.956445305726,1331.80390484084,0.0,2349.41988701598,1502.13046521362,0.0,122.23039874458,144.344445429262,256.0,0.0,15676.0,503.0,2843.0,0.0,5721.0,3960.0,0.0,1934.0,459.0,258.0,0.0,15548.0,655.0,2788.0,0.0,5736.0,3738.0,0.0,1934.0,439.0,119.541411866425,0.0,22944.0674496585,151.819944155151,5970.11233977627,0.0,7631.71920600333,7966.68247218805,0.0,1533.22767282189,461.254860957454
1995,UK,15653,C27,Manufacture of electrical equipment,United Kingdom,10.0,0.0,760.0,60.0,118.0,0.0,373.0,121.0,0.0,49.0,27.0,,0.0,64.3999791343139,324.242470939387,38.4450601325864,0.0,74.1145287467246,38.547269211276,0.0,141.594645051811,51.9954183747287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1180.12460596443,18.5046702321782,306.93150067408,0.0,503.27514227969,313.900316353939,0.0,34.6058284775319,51.927652173913,60.0,0.0,4486.0,94.0,1111.0,0.0,1789.0,379.0,0.0,819.0,234.0,60.0,0.0,4471.0,122.0,1089.0,0.0,1805.0,358.0,0.0,814.0,223.0,25.0548086359578,0.0,6373.49115781621,28.0886436518101,2339.2487908293,0.0,2288.16142697932,760.267164843343,0.0,712.03955045012,232.432793660201
1995,UK,16127,C28,Manufacture of machinery and equipment n.e.c.,United Kingdom,2.0,0.0,1662.0,111.0,108.0,0.0,550.0,504.0,0.0,320.0,68.0,,0.0,59.1801878296139,238.820599458543,13.2217648652217,0.0,86.263608083485,42.9115234385132,0.0,69.2062309537495,56.7442104779723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2808.37229646022,46.4784027222361,816.834977031554,0.0,637.580565222493,1174.50968787479,0.0,462.386111178134,119.836013977844,18.0,0.0,10358.0,346.0,2670.0,0.0,5599.0,726.0,0.0,632.0,367.0,18.0,0.0,10330.0,451.0,2619.0,0.0,5588.0,686.0,0.0,628.0,340.0,5.33000636646723,0.0,14470.1123428014,104.193462399301,5600.84506758147,0.0,7250.42432826007,1461.55807817723,0.0,519.337586711072,367.371964845882
1995,UK,17203,C29-C30,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",United Kingdom,4.0,0.0,5622.0,114.0,301.0,0.0,2587.0,2165.0,0.0,411.0,39.0,246.653144016227,0.0,53.0697034466224,208.766582738673,22.6841415773795,0.0,61.1767753349283,43.7070856253314,0.0,121.034104097011,31.7836605539336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62171052631579,0.0,10593.61487794,54.6064406019911,1326.91818631636,0.0,4228.72893485607,4953.43024826443,0.0,339.573711943681,122.704557374129,137.0,0.0,25321.0,322.0,4497.0,0.0,13844.0,4873.0,0.0,1365.0,283.0,138.0,0.0,24925.0,421.0,4406.0,0.0,13739.0,4601.0,0.0,1357.0,263.0,65.324658752373,0.0,40014.3773302296,98.5883328670073,9400.3898240409,0.0,19852.2314436902,9794.54133555124,0.0,1221.29545410655,300.597279257904
1995,UK,18290,C31-C33,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",United Kingdom,7.0,0.0,1374.0,73.0,109.0,0.0,570.0,210.0,0.0,339.0,66.0,152.777777777778,0.0,70.7422252327009,214.805715728526,36.4999315190735,0.0,73.5288515329913,46.9190182851639,0.0,113.058254920459,62.3907478653048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58181818181818,0.0,1942.26290660258,33.9841981170828,298.63069727416,0.0,775.205906411103,447.579697264048,0.0,299.84542060949,105.784915645645,64.0,0.0,6798.0,209.0,1554.0,0.0,3406.0,729.0,0.0,462.0,374.0,64.0,0.0,6753.0,272.0,1523.0,0.0,3400.0,688.0,0.0,463.0,343.0,26.8751475555415,0.0,9574.51831905378,65.1659678295098,3245.59948808123,0.0,4803.75153029889,1463.01973581958,0.0,426.355464645237,394.420404016845
1995,UK,19366,D,"Electricity, gas, steam and air conditioning supply",United Kingdom,39.0,0.0,4161.0,110.0,302.0,0.0,3183.0,64.0,0.0,413.0,49.0,441.528425130564,0.0,137.704889838321,390.381951260925,151.09180029072,0.0,126.85343537327,45.498621686583,0.0,150.744281091342,4.82994963320748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83295339104551,0.0,3021.67919010386,28.1775321949958,199.878484086439,0.0,2509.19495450314,140.663601725924,0.0,273.973909331755,1014.50333276995,1137.0,0.0,50391.0,852.0,22257.0,0.0,23337.0,821.0,0.0,1296.0,691.0,1145.0,0.0,49958.0,1112.0,21827.0,0.0,23182.0,775.0,0.0,1290.0,627.0,492.217763893418,0.0,73378.5867646814,261.955508634859,39959.2667979529,0.0,30208.3700238893,1671.69361194513,0.0,1133.21850645387,671.292595594554
1995,UK,20187,D-E,"Electricity, gas, steam; water supply, sewerage, waste management",United Kingdom,47.0,0.0,8831.0,177.0,2974.0,0.0,4766.0,85.0,0.0,609.0,171.0,483.475692967898,0.0,76.4571916617716,361.543300231171,35.3037144461192,0.0,115.354059296891,44.9430625433879,0.0,143.464762309472,64.7003116355582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7212746542608,0.0,11550.2542116198,48.956791589507,8424.04275770738,0.0,4131.6274685519,189.128188400471,0.0,424.49448226618,264.295481238488,1269.0,0.0,97640.0,1171.0,61699.0,0.0,28961.0,959.0,0.0,1866.0,1715.0,1278.0,0.0,96238.0,1530.0,60299.0,0.0,28766.0,905.0,0.0,1861.0,1599.0,544.69931967967,0.0,155475.968309524,359.012848210364,111346.332960919,0.0,38151.0613595249,1949.29058796669,0.0,1587.03450516744,1738.21700178384
